ticket_id,category,priority,sentiment,subject,plan_tier,mrr,latest_customer_message,ground_truth_reply,required_facts,expected_action_items,tone_requirement
TICK-101,cancellation_refund,high,frustrated,Accidental annual renewal - need full refund immediately,Pro,120.0,"Hi, I just noticed an unauthorized $1,440 charge on our corporate Amex card from Hiver. We barely used the tool last month and forgot to turn off auto-renew. We are within 4 days of the charge. Please cancel our account immediately and issue a full refund back to our card. I need confirmation today for our finance audit.","Hi Sarah,

Thank you for reaching out, and I completely understand the urgency around this renewal charge.

Because your renewal occurred just 4 days ago, your request falls well within our 14-day full refund guarantee. I have gone ahead and processed a full refund of $1,440.00 back to your original American Express card.

Please allow 3-5 business days for your banking institution to reflect the credited funds. Additionally, I have cancelled the auto-renewal on your Pro subscription so you won't incur any future charges.

A formal credit note receipt has also been sent to your billing email for your finance audit. Please let me know if you need anything else!

Best regards,
Customer Success Team","14-day refund guarantee applies | Full refund of $1,440 processed | 3-5 business days processing timeframe | Subscription auto-renewal cancelled",Confirm refund amount and destination card | Provide clear settlement timeline (3-5 days) | Confirm cancellation status,empathetic_and_clear
TICK-102,technical_issue,urgent,angry,Shared inbox not syncing - our team is blind to incoming client emails!,Enterprise,950.0,"This is completely unacceptable. Our shared support inbox has not synced a single email for the past 2 hours. Our 18 support reps have no idea which tickets are coming in, and we are missing our client SLA commitments. We pay for Enterprise support and need this resolved right now. What is happening?","Hi David,

I sincerely apologize for the disruption and frustration this sync interruption has caused your team today. Given your Enterprise SLA, I am prioritizing this directly.

Our telemetry indicates that Google Workspace OAuth tokens for 'support@apexlogistics.com' experienced a credential refresh timeout approximately 2 hours ago. 

To restore real-time sync immediately, please take the following step:
1. Have a Google Workspace Admin navigate to Integrations > Gmail in the Hiver dashboard and click 'Re-authorize Account'.
2. This refreshes the OAuth handshake, and all pending queued emails will back-populate within 3-5 minutes without any data loss.

I have also engaged our Tier 2 on-call engineers to monitor your inbox queue directly. I will stay on this thread until we verify incoming mail flows smoothly. If you prefer a live bridge, reply here and I will generate an instant Google Meet link.

Warm regards,
Senior Enterprise Support",Acknowledge Enterprise SLA urgency | Diagnose OAuth re-authorization step | Reassure no data loss and 3-5 minute back-sync | Offer real-time monitoring/follow-up,Step-by-step instructions to re-authorize Google OAuth | Commitment to stay on the ticket until confirmed,de-escalating_urgent_accountable
TICK-103,account_access,high,urgent,Lost my phone with Authenticator app - locked out of Hiver,Pro,240.0,"Hello Support, I lost my company phone while traveling and no longer have access to my Google Authenticator app for 2FA. I have urgent customer replies to send. Can you please immediately turn off 2FA on my account or reset my password from your end so I can log in?","Hi Elena,

I am sorry to hear about your lost phone—I know being locked out when urgent customer emails are waiting is stressful.

To safeguard your organization's sensitive customer communications, our security compliance protocols strictly prevent support agents from manually bypassing or disabling 2FA over email.

Here is how you can regain access quickly:
1. Your Workspace Admin (admin@cloudtech.io) has full authority to reset your 2FA from the Hiver console by going to Settings > Teammates > Elena Rostova > 'Reset 2FA'. This takes less than 30 seconds.
2. Once they trigger the reset, you will receive an automated one-time activation link to register a new authenticator device upon your next login.

I have also CC'd your admin team on this ticket to help expedite their action. Please let me know once they reset it if you encounter any difficulties logging in!

Best regards,
Hiver Security & Support",Agents cannot manually disable 2FA over email for security protocols | Workspace Admin can reset 2FA via Settings > Teammates | One-time activation link generated,Explain the security reason clearly with empathy | Direct to Workspace Admin with exact navigation path,supportive_security_conscious
TICK-104,billing,normal,neutral,Need updated tax invoice with our German VAT ID,Pro,360.0,"Hello Hiver team, our accounting department cannot process the August invoice (#INV-2026-08) because our German VAT ID (DE349281902) is missing from the PDF. Could you please regenerate invoice #INV-2026-08 including our VAT number and full registered address? Thanks, Markus","Hi Markus,

Thank you for getting in touch, and happy to help with your invoice update!

I have updated your billing profile with your German VAT ID (DE349281902) and submitted invoice #INV-2026-08 to our finance team for manual re-issuance. Because this involves past tax adjustments, revised invoices typically take 1-2 business days to process.

As soon as the updated PDF is regenerated, I will email it directly to you and it will also be downloadable from your dashboard under Settings > Billing > Invoices.

To ensure all future monthly invoices automatically include your VAT details, please confirm that your registered legal entity name and German billing address in Settings > Billing match your official corporate registration.

I will follow up here with your revised invoice as soon as it is ready!

Best regards,
Hiver Billing Operations",Acknowledge invoice #INV-2026-08 and VAT ID DE349281902 | Submitted to finance team for revised invoice | 1-2 business days turnaround | Ensure future invoices auto-populate via Settings > Billing,Confirm profile updated with VAT ID | State 1-2 business days processing expectation | Promise proactive follow-up,professional_and_helpful
TICK-105,sla_escalation,urgent,angry,SLA BREACH: 3 hours with no response on critical support queue outage,Enterprise,2400.0,We submitted a high-priority ticket at 11:15 AM regarding automated rule assignments failing across all 4 of our shared inboxes. It has now been 3 hours with zero response. Our Enterprise agreement specifies a 1-hour maximum first response SLA. Our incoming queue is overflowing and unassigned. We need an explanation and an engineering lead immediately.,"Dear Jonathan,

I want to apologize directly and unreservedly for the delay in responding to your ticket today. You are entirely correct: our 1-hour Enterprise SLA was breached, and this falls short of the high standard of reliability you expect and deserve from Hiver.

I have personally escalated this incident to our Head of Engineering and your dedicated Customer Success Manager, Rachel Vance. 

Regarding the root cause: an isolated latency spike in our rule execution queue delayed webhook triggers between 11:00 AM and 1:30 PM. A hotfix was deployed at 1:45 PM, and automated assignments have fully resumed. We are currently back-processing all unassigned emails in your 4 mailboxes in chronological order, with complete queue clearance estimated within the next 20 minutes.

Rachel Vance will also reach out by 5:00 PM EST today with a formal Post-Incident Report (PIR) and details regarding your Enterprise SLA credit adjustment. I am monitoring your queue live and will confirm the moment all backlogs clear.

Sincerely,
Director of Customer Experience",Acknowledge and validate the 1-hour Enterprise SLA breach unreservedly | Explain root cause (rule execution latency) and confirmation of fix | Provide back-processing ETA (20 minutes) | Offer formal Post-Incident Report and SLA credit,Full unreserved apology | Clear status of technical fix and queue drain | Commitment to PIR and credit,deeply_accountable_authoritative_empathetic
TICK-106,feature_request,normal,neutral,Request: Native HubSpot bi-directional contact sync,Pro,300.0,"Hi team, we love using Hiver for our customer emails, but our sales reps spend a lot of time copying customer notes from Gmail over to HubSpot CRM. Do you have a native bi-directional HubSpot integration on your roadmap? If yes, when might it be available?","Hi Clara,

Thank you for reaching out and for your kind words about Hiver! It's fantastic to hear that your team is getting value from our shared inbox.

A native bi-directional HubSpot contact and timeline sync is indeed one of our most requested capabilities, and I have great news: our Product team has scheduled native HubSpot integration for active development in Q4!

I have officially linked your account (ACC-64019) to the feature request ticket. This ensures you will automatically receive an invitation when our closed beta opens in late November, giving your team early access to test the sync.

In the interim, many of our customers use our Zapier or Webhook integration to automatically log incoming customer threads to HubSpot deals and contacts. If you would like our Solutions team to share a pre-built Zapier template for this, please let me know!

Best regards,
Hiver Product Operations",Acknowledge HubSpot bi-directional sync interest | Mention roadmap status (Q4 development / closed beta) | Offer temporary alternative (Zapier / Webhooks template),Tag customer account to feature tracking ticket | Offer interim workaround template,enthusiastic_informative_helpful
TICK-107,onboarding,normal,confused,New agents cannot see the 'Support' shared mailbox in Gmail,Starter,150.0,"Hi there, I added three new customer agents to our account yesterday (tim@, mia@, and alex@finflow.co). However, none of them can see our 'Support' shared mailbox when they open Gmail. They accepted the email invite. Did I miss a configuration step?","Hi Liam,

Welcome aboard, and thank you for contacting Hiver Support!

This is a common question during onboarding. When new teammates accept the workspace invitation, there are two quick steps needed before shared mailboxes appear inside Gmail:

1. **Install the Hiver Chrome Extension**: Each new agent must install our Chrome Extension from the Chrome Web Store (hiverhq.com/extension). The shared inbox panel is rendered directly by the extension inside Gmail.
2. **Shared Mailbox Permission Assignment**: As an Admin, please go to Settings > Shared Mailboxes > 'Support' > Teammates, and ensure that Tim, Mia, and Alex are toggled ON as active members of that specific mailbox.

Once they install the extension and refresh Gmail, the 'Support' shared mailbox will appear immediately in their left-hand Gmail sidebar.

If any of them still don't see it after these steps, please let me know and I'd be happy to jump on a quick screen share to verify!

Warm regards,
Hiver Onboarding Specialist",Need to install Hiver Chrome extension | Admin must explicitly assign teammates to the specific shared mailbox in Settings | Refresh Gmail after install,Provide numbered checklist (Chrome extension + Mailbox member assignment) | Offer screen share support if issues persist,warm_encouraging_clear
TICK-108,technical_issue,normal,confused,Two reps replied to the same customer email at the same time!,Pro,480.0,"Hey Hiver team, an awkward situation happened today: two of our agents answered the same high-value client email at the exact same minute with different answers! I thought Hiver had collision detection to alert agents when someone is replying. Why didn't the yellow banner show up?","Hi Priya,

I completely understand how uncomfortable that situation is with your client—preventing duplicate replies is one of Hiver's core promises, so let's get this sorted out right away.

Collision detection relies on an active WebSocket connection over secure port 443 to broadcast real-time agent presence (viewing and typing). Here are the primary reasons a collision banner might fail to appear:

1. **WebSocket Interruption (Firewall / VPN)**: If either agent was connected via a corporate VPN or strict firewall, WebSocket packets may have been throttled or blocked, causing presence heartbeats to fail.
2. **Extension Version Mismatch**: If one agent was running an older cached version of the Hiver Chrome extension, live presence signals may not sync.
3. **Quick Diagnostic**: Ask both agents to visit `chrome://extensions`, verify 'Developer Mode' is not conflicting, and click 'Update' to guarantee they are on version 8.14+.

We also recommend checking Settings > Email Collaboration > 'Collision Alerts' to ensure alerts are configured to 'Prominent Banner + Lock'. 

If you can share the email message-ID or timestamps, our engineers can review the WebSocket logs for those two user sessions to pinpoint the exact drop. Let me know!

Best regards,
Hiver Technical Support",Acknowledge the embarrassment of collision failure empathetically | Explain WebSocket / VPN connection dependency | Recommend extension update and collision alert settings | Offer log inspection with email message-ID,Explain technical mechanism (WebSockets) | Provide diagnostic steps | Offer backend log investigation,empathetic_analytical_reassuring
TICK-109,cancellation_refund,normal,frustrated,Charged for 6 months after we requested cancellation - want refund,Starter,45.0,"I stopped using Hiver in March and thought I cancelled. I just looked at our bank statements and see $45 charged every single month since then, totaling $270! We haven't logged in for 6 months. I demand a full refund for all 6 months immediately.","Hi Tom,

Thank you for reaching out, and I understand how frustrating it is to discover ongoing recurring charges for software your team was not actively using.

I reviewed your account audit log: while there was no recorded cancellation submitted through Settings > Billing back in March, I can clearly see that account activity was zero across these past 6 months.

Per our standard billing policy, past monthly charges beyond 14 days are non-refundable. However, in light of your zero usage and as a gesture of goodwill, I have secured special management approval to issue a full 50% refund ($135.00) back to your card, and I have credited the remaining $135.00 as lifetime credit on your file should you ever return.

Furthermore, I have immediately terminated the subscription today to ensure zero future charges occur.

The $135.00 refund will appear on your statement in 3-5 business days. Please let me know if you need an itemized final zero-balance statement for your records.

Warm regards,
Hiver Billing Support",Explain standard 14-day policy vs zero usage context | Goodwill compromise (partial refund/credit resolution) | Confirm subscription cancellation effective immediately | Timeline for card refund (3-5 business days),Acknowledge non-usage data | Explain balanced resolution respectfully | Confirm immediate cancellation to halt further billing,fair_empathetic_balanced
TICK-110,technical_issue,high,frustrated,Emails tagged 'Urgent' are losing their tags automatically,Pro,360.0,"Hi, we have an automated workflow rule that tags emails containing 'outage' as 'Urgent'. Over the last 24 hours, agents report that the 'Urgent' tag disappears a few seconds after being applied. This is causing critical client issues to get buried. Please fix this bug.","Hi Amira,

Thank you for alerting us to this, and I apologize for the concern this is causing your support operations. Disappearing tags on urgent emails is serious, and I am here to help you get this resolved promptly.

When a tag vanishes within seconds of application, it almost always points to one of two root causes:

1. **Gmail Native Label Conflict**: If Gmail has a native user label with the identical name 'Urgent' that is set to auto-archive or auto-filter, Gmail's IMAP sync may overwrite Hiver's shared tag metadata. 
2. **Competing Rule Overlap**: If another Hiver automation rule has a trigger like 'On agent assignment -> Remove tag', it may immediately strip the tag.

To diagnose this right now:
- Navigate to Settings > Automation Rules and check if any secondary rule has an action that removes tags.
- In Gmail Settings > Labels, check if a personal label named 'Urgent' exists. If so, renaming the Hiver shared tag to 'P1-Urgent' immediately decouples it from Gmail's personal label filter.

I have also checked our backend event logs for your workspace (ACC-55193) and can see rule executions triggering. If you'd like, I can inspect the exact rule IDs for you—just reply with permission to review your automation settings.

Best regards,
Hiver Technical Support",Acknowledge the tag disappearance bug empathetically | Explain Gmail label sync conflict vs competing automation rule | Provide concrete diagnostic steps (check rules + label renaming trick) | Offer backend rule review,Provide clear step-by-step diagnostic checklist | Offer direct support assistance,prompt_analytical_reassuring
